City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
272,ankang,100,CN,1635650893,63,32.68,109.0172,64.47,0.72
273,rock springs,1,US,1635650894,53,41.5875,-109.2029,45.84,6.91
274,uruzgan,0,AF,1635650894,17,32.8333,66.0,50.45,7.16
275,taguatinga,75,BR,1635650895,66,-12.3857,-46.5711,76.82,1.16
276,sainte-anne-des-monts,54,CA,1635650895,69,49.124,-66.4924,44.47,5.64
277,viedma,100,AR,1635650896,65,-40.8135,-62.9967,51.12,18.72
278,port hardy,20,CA,1635650896,100,50.6996,-127.4199,44.6,5.75
279,lyuban,15,BY,1635650896,80,52.7985,28.0048,41.0,10.4
280,meulaboh,100,ID,1635650897,90,4.1363,96.1285,77.22,10.04
281,mount gambier,90,AU,1635650897,51,-37.8333,140.7667,62.51,8.05
282,anshun,100,CN,1635650898,91,26.25,105.9333,53.01,6.64
283,plettenberg bay,50,ZA,1635650898,86,-34.0527,23.3716,59.52,2.42
284,newberg,1,US,1635650742,42,45.3001,-122.9732,54.82,1.01
285,anaconda,1,US,1635650898,84,46.1285,-112.9423,31.19,3.49
286,kumano,60,JP,1635650899,68,34.3442,132.5894,68.9,5.79
287,longyearbyen,75,SJ,1635650899,74,78.2186,15.6401,26.44,10.36
288,kagoro,100,NG,1635650900,46,9.6,8.3833,67.68,3.15
289,tonota,2,BW,1635650900,42,-21.4833,27.4833,70.57,7.78
290,hatillo,1,PR,1635650901,79,18.4863,-66.8254,77.02,5.61
291,sosva,91,RU,1635650901,98,59.1766,61.8558,11.32,2.24
292,aligudarz,25,IR,1635650901,57,33.4006,49.6949,49.1,3.09
293,charters towers,29,AU,1635650902,26,-20.1,146.2667,98.24,10.74
294,constitucion,100,CL,1635650756,83,-35.3333,-72.4167,55.09,9.91
295,poum,0,NC,1635650403,71,-20.2333,164.0167,76.35,3.0
296,klaksvik,99,FO,1635650903,87,62.2266,-6.589,47.98,1.66
297,praia da vitoria,100,PT,1635650654,93,38.7333,-27.0667,69.76,7.67
298,nizhnevartovsk,90,RU,1635650903,92,60.9344,76.5531,6.82,0.0
299,kysyl-syr,100,RU,1635650903,93,63.8986,122.7617,17.55,12.1
300,maykor,100,RU,1635650904,97,59.0059,55.88,32.05,5.23
301,yulara,100,AU,1635650904,39,-25.2406,130.9889,77.04,18.01
302,rundu,64,NA,1635650905,50,-17.9333,19.7667,74.82,4.74
303,puerto del rosario,0,ES,1635650905,79,28.5004,-13.8627,65.88,10.16
304,guangyuan,93,CN,1635650796,60,32.442,105.823,65.23,7.72
305,lufilufi,99,WS,1635650906,75,-13.8745,-171.5986,83.98,16.4
306,hasaki,90,JP,1635650906,74,35.7333,140.8333,63.28,11.48
307,beringovskiy,100,RU,1635650907,93,63.05,179.3167,10.08,19.64
308,pavlodar,100,KZ,1635650907,96,52.3,76.95,37.04,22.95
309,qui nhon,34,VN,1635650754,80,13.7667,109.2333,80.83,8.37
310,san patricio,0,US,1635650907,42,28.017,-97.5169,70.84,7.36
311,isla vista,90,US,1635650908,87,34.4133,-119.861,64.11,0.0
312,gravdal,100,NO,1635650908,93,68.1214,13.5031,47.5,11.07
313,sioux lookout,100,CA,1635650909,75,50.1001,-91.917,39.29,9.37
314,jaguaruna,100,BR,1635650909,90,-28.615,-49.0256,67.23,12.03
315,labuhan,61,ID,1635650910,63,-6.8844,112.2051,87.53,7.02
316,kushima,48,JP,1635650910,67,31.4583,131.2333,72.91,10.76
317,krasnomayskiy,45,RU,1635650910,82,57.6194,34.4099,43.95,7.52
318,turan,73,VN,1635650911,77,16.0678,108.2208,80.58,2.01
319,tuatapere,100,NZ,1635650911,72,-46.1333,167.6833,49.17,14.9
320,huarmey,71,PE,1635650912,85,-10.0681,-78.1522,63.61,5.64
321,ndele,100,CF,1635650912,72,8.4109,20.6473,71.08,2.75
322,broome,20,US,1635650705,96,42.2506,-75.833,52.68,1.01
323,buta,100,CD,1635650913,99,2.7858,24.73,68.65,1.1
324,brae,82,GB,1635650913,81,60.3964,-1.353,49.91,24.25
325,waipawa,0,NZ,1635650914,56,-41.4122,175.5153,57.94,18.19
326,mount isa,25,AU,1635650914,18,-20.7333,139.5,92.55,15.82
327,dumas,1,US,1635650837,32,35.8656,-101.9732,62.02,11.59
328,mahebourg,75,MU,1635650914,94,-20.4081,57.7,78.26,3.44
329,juan lacaze,0,UY,1635650915,86,-34.4342,-57.4381,70.12,9.13
330,airai,85,TL,1635650915,52,-8.9266,125.4092,77.34,1.61
331,livingston,100,GB,1635650915,96,55.9029,-3.5226,43.59,3.44
332,soyo,100,AO,1635650916,85,-6.1349,12.3689,76.93,9.04
333,montepuez,7,MZ,1635650916,88,-13.1256,38.9997,67.5,5.57
334,alberton,7,CA,1635650917,89,46.8168,-64.0654,48.09,8.5
335,las palmas,0,ES,1635650917,81,28.4204,-14.0131,62.82,8.08
336,poitiers,86,FR,1635650917,94,46.5833,0.3333,51.55,9.55
337,ugoofaaru,14,MV,1635650918,70,5.6667,73.0,82.15,10.54
338,oktyabrskiy,100,RU,1635650918,94,54.4815,53.471,44.53,7.92
339,san pedro,19,PH,1635650919,60,14.35,121.0167,87.1,15.79
340,kudahuvadhoo,27,MV,1635650919,72,2.6708,72.8944,83.5,16.91
341,hualmay,89,PE,1635650919,84,-11.0964,-77.6139,62.94,7.05
342,emerald,86,AU,1635650920,22,-23.5333,148.1667,91.54,12.66
343,linjiang,100,CN,1635650920,73,41.8069,126.9078,53.02,0.56
344,hervey bay,42,AU,1635650921,66,-25.2986,152.8535,82.51,26.33
345,ixtapa,9,MX,1635650921,95,20.7,-105.2,74.25,2.42
346,samarkand,100,UZ,1635650922,47,39.6542,66.9597,51.87,3.62
347,ternate,98,ID,1635650922,70,0.8,127.4,83.53,6.6
348,svetlogorsk,8,BY,1635650922,83,52.6333,29.7333,40.57,10.89
349,puerto suarez,55,BO,1635650923,80,-18.95,-57.8,76.06,5.77
350,shenjiamen,14,CN,1635650923,71,29.9576,122.298,67.84,10.96
351,cairns,30,AU,1635650924,63,-16.9167,145.7667,98.94,1.99
352,tezu,78,IN,1635650924,38,27.9167,96.1667,77.97,1.72
353,karwar,100,IN,1635650925,76,14.8,74.1333,80.37,6.15
354,maneadero,97,MX,1635650925,79,31.7167,-116.5667,62.42,3.02
355,lingao,90,CN,1635650925,84,19.9103,109.6859,78.22,13.04
356,vostok,68,RU,1635650926,56,46.4856,135.8833,45.34,3.94
357,clyde river,100,CA,1635650926,97,70.4692,-68.5914,29.79,21.68
358,kadoma,100,JP,1635650927,73,34.7333,135.5833,69.94,3.11
359,salinas,90,US,1635650751,90,36.6777,-121.6555,60.84,0.0
360,nanortalik,5,GL,1635650928,73,60.1432,-45.2371,34.02,4.07
361,alghero,40,IT,1635650928,88,40.5589,8.3181,62.69,4.61
362,puerto colombia,100,CO,1635650928,76,10.9878,-74.9547,75.29,1.48
363,kadiri,100,IN,1635650929,82,14.1167,78.1667,74.84,4.59
